Game 302 | P1: 32 | P2: 19 | Moves: 13
Game 303 | P1: 5 | P2: 46 | Moves: 38
Game 304 | P1: 40 | P2: 22 | Moves: 15
Game 305 | P1: 14 | P2: 49 | Moves: 18
Game 306 | P1: 41 | P2: 25 | Moves: 33
Game 307 | P1: 47 | P2: 20 | Moves: 109
Game 308 | P1: 11 | P2: 57 | Moves: 14
Game 309 | P1: 13 | P2: 47 | Moves: 22
Game 310 | P1: 15 | P2: 48 | Moves: 16
Game 311 | P1: 11 | P2: 57 | Moves: 14
Game 312 | P1: 32 | P2: 36 | Moves: 77
Game 313 | P1: 30 | P2: 36 | Moves: 21
Game 314 | P1: 13 | P2: 51 | Moves: 24
Game 315 | P1: 32 | P2: 19 | Moves: 13
Game 316 | P1: 58 | P2: 7 | Moves: 31
Game 317 | P1: 41 | P2: 17 | Moves: 21
Game 318 | P1: 9 | P2: 43 | Moves: 16
Game 319 | P1: 32 | P2: 33 | Moves: 17
Game 320 | P1: 13 | P2: 54 | Moves: 24
Game 321 | P1: 15 | P2: 48 | Moves: 18
Game 322 | P1: 9 | P2: 43 | Moves: 14
Game 323 | P1: 13 | P2: 55 | Moves: 22
Game 324 | P1: 16 | P2: 43 | Moves: 42
Game 325 | P1: 32 | P2: 19 | Moves: 13
Game 326 | P1: 30 | P2: 35 | Moves: 66
Game 327 | P1: 27 | P2: 41 | Moves: 24
Game 328 | P1: 42 | P2: 21 | Moves: 29
Game 329 | P1: 11 | P2: 57 | Moves: 14
Game 330 | P1: 49 | P2: 21 | Moves: 179
Game 331 | P1: 9 | P2: 43 | Moves: 16
Game 332 | P1: 42 | P2: 17 | Moves: 107
Game 333 | P1: 11 | P2: 54 | Moves: 14
Game 334 | P1: 11 | P2: 57 | Moves: 14
Game 335 | P1: 34 | P2: 34 | Moves: 27
Game 336 | P1: 9 | P2: 43 | Moves: 14
Game 337 | P1: 30 | P2: 37 | Moves: 26
Game 338 | P1: 21 | P2: 41 | Moves: 144
Game 339 | P1: 43 | P2: 21 | Moves: 31
Game 340 | P1: 11 | P2: 54 | Moves: 14
Game 341 | P1: 42 | P2: 16 | Moves: 69
Game 342 | P1: 11 | P2: 54 | Moves: 14
Game 343 | P1: 18 | P2: 42 | Moves: 12
Game 344 | P1: 32 | P2: 19 | Moves: 13
Game 345 | P1: 13 | P2: 53 | Moves: 20
Game 346 | P1: 9 | P2: 43 | Moves: 14
Game 347 | P1: 32 | P2: 19 | Moves: 13
Game 348 | P1: 11 | P2: 57 | Moves: 14
Game 349 | P1: 46 | P2: 17 | Moves: 77
Game 350 | P1: 9 | P2: 43 | Moves: 14
Game 351 | P1: 23 | P2: 42 | Moves: 62
Game 352 | P1: 6 | P2: 64 | Moves: 42
Game 353 | P1: 11 | P2: 57 | Moves: 14
Game 354 | P1: 6 | P2: 52 | Moves: 14
Game 355 | P1: 9 | P2: 43 | Moves: 16
Game 356 | P1: 11 | P2: 57 | Moves: 14
Game 357 | P1: 11 | P2: 57 | Moves: 14
Game 358 | P1: 32 | P2: 19 | Moves: 13
Game 359 | P1: 32 | P2: 19 | Moves: 13
Game 360 | P1: 11 | P2: 57 | Moves: 14
Game 361 | P1: 42 | P2: 20 | Moves: 73
Game 362 | P1: 39 | P2: 27 | Moves: 23
Game 363 | P1: 18 | P2: 46 | Moves: 18
Game 364 | P1: 11 | P2: 57 | Moves: 14
Game 365 | P1: 18 | P2: 42 | Moves: 16
Game 366 | P1: 8 | P2: 60 | Moves: 30
Game 367 | P1: 14 | P2: 45 | Moves: 22
Game 368 | P1: 6 | P2: 52 | Moves: 14
Game 369 | P1: 53 | P2: 9 | Moves: 21
Game 370 | P1: 9 | P2: 43 | Moves: 16
Game 371 | P1: 6 | P2: 41 | Moves: 22
Game 372 | P1: 22 | P2: 42 | Moves: 50
Game 373 | P1: 11 | P2: 59 | Moves: 16
Game 374 | P1: 33 | P2: 34 | Moves: 27
Game 375 | P1: 52 | P2: 18 | Moves: 15
Game 376 | P1: 47 | P2: 15 | Moves: 23
Game 377 | P1: 15 | P2: 48 | Moves: 18
Game 378 | P1: 48 | P2: 22 | Moves: 23
Game 379 | P1: 32 | P2: 19 | Moves: 13
Game 380 | P1: 18 | P2: 47 | Moves: 18
Game 381 | P1: 11 | P2: 57 | Moves: 14
Game 382 | P1: 32 | P2: 19 | Moves: 13
Game 383 | P1: 38 | P2: 29 | Moves: 74
Game 384 | P1: 13 | P2: 53 | Moves: 20
Game 385 | P1: 11 | P2: 57 | Moves: 14
Game 386 | P1: 45 | P2: 16 | Moves: 77
Game 387 | P1: 11 | P2: 57 | Moves: 14
Game 388 | P1: 9 | P2: 56 | Moves: 24
Game 389 | P1: 9 | P2: 56 | Moves: 14
Game 390 | P1: 9 | P2: 43 | Moves: 14
Game 391 | P1: 32 | P2: 19 | Moves: 13
Game 392 | P1: 34 | P2: 30 | Moves: 23
Game 393 | P1: 36 | P2: 29 | Moves: 92
Game 394 | P1: 32 | P2: 19 | Moves: 13
Game 395 | P1: 38 | P2: 28 | Moves: 19
Game 396 | P1: 32 | P2: 19 | Moves: 13
Game 397 | P1: 21 | P2: 49 | Moves: 20
Game 398 | P1: 52 | P2: 18 | Moves: 15
Game 399 | P1: 9 | P2: 51 | Moves: 44
Game 400 | P1: 32 | P2: 19 | Moves: 13
Game 401 | P1: 11 | P2: 57 | Moves: 14
Game 402 | P1: 9 | P2: 48 | Moves: 14
Game 403 | P1: 11 | P2: 57 | Moves: 14
Game 404 | P1: 16 | P2: 48 | Moves: 28
Game 405 | P1: 9 | P2: 43 | Moves: 14
Game 406 | P1: 8 | P2: 52 | Moves: 14
Game 407 | P1: 41 | P2: 21 | Moves: 159
Game 408 | P1: 47 | P2: 20 | Moves: 37
Game 409 | P1: 11 | P2: 57 | Moves: 14
Game 410 | P1: 33 | P2: 35 | Moves: 23
Game 411 | P1: 31 | P2: 33 | Moves: 38
Game 412 | P1: 57 | P2: 9 | Moves: 21
Game 413 | P1: 37 | P2: 28 | Moves: 27
Game 414 | P1: 33 | P2: 29 | Moves: 15
Game 415 | P1: 15 | P2: 48 | Moves: 18
Game 416 | P1: 37 | P2: 28 | Moves: 17
Game 417 | P1: 9 | P2: 56 | Moves: 14
Game 418 | P1: 39 | P2: 27 | Moves: 23
Game 419 | P1: 8 | P2: 52 | Moves: 14
Game 420 | P1: 48 | P2: 22 | Moves: 71
Game 421 | P1: 15 | P2: 48 | Moves: 18
Game 422 | P1: 18 | P2: 47 | Moves: 18
Game 423 | P1: 32 | P2: 19 | Moves: 13
Game 424 | P1: 40 | P2: 22 | Moves: 15
Game 425 | P1: 32 | P2: 19 | Moves: 13
Game 426 | P1: 26 | P2: 42 | Moves: 116
Game 427 | P1: 9 | P2: 43 | Moves: 14
Game 428 | P1: 32 | P2: 19 | Moves: 13
Game 429 | P1: 32 | P2: 19 | Moves: 13
Game 430 | P1: 11 | P2: 57 | Moves: 14
Game 431 | P1: 9 | P2: 43 | Moves: 14
Game 432 | P1: 52 | P2: 18 | Moves: 15
Game 433 | P1: 12 | P2: 54 | Moves: 22
Game 434 | P1: 11 | P2: 54 | Moves: 14
Game 435 | P1: 18 | P2: 42 | Moves: 12
Game 436 | P1: 33 | P2: 29 | Moves: 15
Game 437 | P1: 32 | P2: 19 | Moves: 13
Game 438 | P1: 46 | P2: 14 | Moves: 67
Game 439 | P1: 12 | P2: 54 | Moves: 24
Game 440 | P1: 42 | P2: 28 | Moves: 75
Game 441 | P1: 12 | P2: 55 | Moves: 22
Game 442 | P1: 31 | P2: 31 | Moves: 21
Game 443 | P1: 32 | P2: 19 | Moves: 13
Game 444 | P1: 41 | P2: 19 | Moves: 19
Game 445 | P1: 11 | P2: 57 | Moves: 14
Game 446 | P1: 33 | P2: 29 | Moves: 15
Game 447 | P1: 58 | P2: 6 | Moves: 29
Game 448 | P1: 38 | P2: 28 | Moves: 25
Game 449 | P1: 32 | P2: 35 | Moves: 26
Game 450 | P1: 34 | P2: 34 | Moves: 26
Game 451 | P1: 32 | P2: 33 | Moves: 17
Game 452 | P1: 52 | P2: 18 | Moves: 15
Game 453 | P1: 41 | P2: 19 | Moves: 19
Game 454 | P1: 42 | P2: 28 | Moves: 43
