Game 381 | P1: 27 | P2: 4 | Moves: 11
Game 382 | P1: 41 | P2: 5 | Moves: 9
Game 383 | P1: 43 | P2: 16 | Moves: 23
Game 384 | P1: 41 | P2: 1 | Moves: 15
Game 385 | P1: 33 | P2: 0 | Moves: 7
Game 386 | P1: 70 | P2: 0 | Moves: 7
Game 387 | P1: 61 | P2: 2 | Moves: 11
Game 388 | P1: 44 | P2: 19 | Moves: 15
Game 389 | P1: 55 | P2: 10 | Moves: 23
Game 390 | P1: 38 | P2: 24 | Moves: 14
Game 391 | P1: 41 | P2: 3 | Moves: 11
Game 392 | P1: 43 | P2: 1 | Moves: 7
Game 393 | P1: 49 | P2: 4 | Moves: 7
Game 394 | P1: 53 | P2: 4 | Moves: 9
Game 395 | P1: 57 | P2: 7 | Moves: 11
Game 396 | P1: 48 | P2: 3 | Moves: 13
Game 397 | P1: 42 | P2: 10 | Moves: 11
Game 398 | P1: 44 | P2: 0 | Moves: 7
Game 399 | P1: 43 | P2: 24 | Moves: 13
Game 400 | P1: 44 | P2: 0 | Moves: 7
Game 401 | P1: 42 | P2: 0 | Moves: 7
Game 402 | P1: 58 | P2: 1 | Moves: 15
Game 403 | P1: 43 | P2: 0 | Moves: 9
Game 404 | P1: 57 | P2: 0 | Moves: 9
Game 405 | P1: 42 | P2: 7 | Moves: 9
Game 406 | P1: 41 | P2: 0 | Moves: 9
Game 407 | P1: 58 | P2: 2 | Moves: 7
Game 408 | P1: 48 | P2: 0 | Moves: 7
Game 409 | P1: 47 | P2: 0 | Moves: 7
Game 410 | P1: 53 | P2: 1 | Moves: 9
Game 411 | P1: 58 | P2: 3 | Moves: 11
Game 412 | P1: 61 | P2: 4 | Moves: 15
Game 413 | P1: 43 | P2: 1 | Moves: 7
Game 414 | P1: 42 | P2: 21 | Moves: 11
Game 415 | P1: 46 | P2: 17 | Moves: 25
Game 416 | P1: 47 | P2: 10 | Moves: 29
Game 417 | P1: 43 | P2: 0 | Moves: 5
Game 418 | P1: 50 | P2: 3 | Moves: 7
Game 419 | P1: 41 | P2: 18 | Moves: 19
Game 420 | P1: 42 | P2: 0 | Moves: 7
Game 421 | P1: 47 | P2: 0 | Moves: 7
Game 422 | P1: 23 | P2: 0 | Moves: 3
Game 423 | P1: 42 | P2: 19 | Moves: 7
Game 424 | P1: 41 | P2: 20 | Moves: 35
Game 425 | P1: 41 | P2: 8 | Moves: 9
Game 426 | P1: 23 | P2: 0 | Moves: 3
Game 427 | P1: 41 | P2: 24 | Moves: 21
Game 428 | P1: 41 | P2: 4 | Moves: 9
Game 429 | P1: 44 | P2: 19 | Moves: 21
Game 430 | P1: 52 | P2: 1 | Moves: 11
Game 431 | P1: 23 | P2: 0 | Moves: 3
Game 432 | P1: 52 | P2: 0 | Moves: 11
Game 433 | P1: 31 | P2: 22 | Moves: 6
Game 434 | P1: 53 | P2: 5 | Moves: 15
Game 435 | P1: 46 | P2: 24 | Moves: 11
Game 436 | P1: 33 | P2: 0 | Moves: 5
Game 437 | P1: 33 | P2: 0 | Moves: 5
Game 438 | P1: 60 | P2: 1 | Moves: 11
Game 439 | P1: 46 | P2: 0 | Moves: 9
Game 440 | P1: 48 | P2: 0 | Moves: 7
Game 441 | P1: 45 | P2: 6 | Moves: 9
Game 442 | P1: 43 | P2: 2 | Moves: 7
Game 443 | P1: 37 | P2: 29 | Moves: 42
Game 444 | P1: 42 | P2: 16 | Moves: 23
Game 445 | P1: 41 | P2: 21 | Moves: 27
Game 446 | P1: 23 | P2: 0 | Moves: 3
Game 447 | P1: 58 | P2: 4 | Moves: 9
Game 448 | P1: 37 | P2: 7 | Moves: 7
Game 449 | P1: 57 | P2: 8 | Moves: 15
Game 450 | P1: 42 | P2: 18 | Moves: 7
Game 451 | P1: 47 | P2: 0 | Moves: 9
Game 452 | P1: 41 | P2: 15 | Moves: 29
Game 453 | P1: 57 | P2: 0 | Moves: 11
Game 454 | P1: 45 | P2: 0 | Moves: 7
Game 455 | P1: 45 | P2: 1 | Moves: 13
Game 456 | P1: 41 | P2: 21 | Moves: 13
Game 457 | P1: 42 | P2: 9 | Moves: 15
Game 458 | P1: 67 | P2: 3 | Moves: 13
Game 459 | P1: 42 | P2: 3 | Moves: 7
Game 460 | P1: 45 | P2: 5 | Moves: 11
Game 461 | P1: 44 | P2: 15 | Moves: 9
Game 462 | P1: 38 | P2: 21 | Moves: 11
Game 463 | P1: 23 | P2: 0 | Moves: 3
Game 464 | P1: 45 | P2: 5 | Moves: 9
Game 465 | P1: 41 | P2: 0 | Moves: 9
Game 466 | P1: 45 | P2: 14 | Moves: 41
Game 467 | P1: 41 | P2: 19 | Moves: 17
Game 468 | P1: 43 | P2: 9 | Moves: 9
Game 469 | P1: 42 | P2: 22 | Moves: 121
Game 470 | P1: 52 | P2: 2 | Moves: 9
Game 471 | P1: 45 | P2: 1 | Moves: 9
Game 472 | P1: 39 | P2: 26 | Moves: 30
Game 473 | P1: 48 | P2: 0 | Moves: 7
Game 474 | P1: 63 | P2: 4 | Moves: 13
Game 475 | P1: 42 | P2: 1 | Moves: 7
Game 476 | P1: 42 | P2: 20 | Moves: 55
Game 477 | P1: 42 | P2: 1 | Moves: 7
Game 478 | P1: 40 | P2: 3 | Moves: 20
Game 479 | P1: 45 | P2: 17 | Moves: 25
Game 480 | P1: 50 | P2: 3 | Moves: 7
Game 481 | P1: 47 | P2: 6 | Moves: 13
Game 482 | P1: 44 | P2: 16 | Moves: 39
Game 483 | P1: 55 | P2: 2 | Moves: 9
Game 484 | P1: 42 | P2: 15 | Moves: 63
Game 485 | P1: 32 | P2: 1 | Moves: 11
Game 486 | P1: 65 | P2: 2 | Moves: 7
Game 487 | P1: 49 | P2: 3 | Moves: 17
Game 488 | P1: 42 | P2: 0 | Moves: 7
Game 489 | P1: 23 | P2: 0 | Moves: 3
Game 490 | P1: 53 | P2: 2 | Moves: 9
Game 491 | P1: 33 | P2: 0 | Moves: 5
Game 492 | P1: 44 | P2: 3 | Moves: 11
Game 493 | P1: 60 | P2: 0 | Moves: 13
Game 494 | P1: 58 | P2: 6 | Moves: 17
Game 495 | P1: 35 | P2: 30 | Moves: 9
Game 496 | P1: 17 | P2: 3 | Moves: 6
Game 497 | P1: 39 | P2: 26 | Moves: 11
Game 498 | P1: 43 | P2: 18 | Moves: 11
Game 499 | P1: 53 | P2: 0 | Moves: 11
Game 500 | P1: 59 | P2: 8 | Moves: 15
Game 501 | P1: 44 | P2: 6 | Moves: 7
Game 502 | P1: 41 | P2: 18 | Moves: 25
Game 503 | P1: 41 | P2: 4 | Moves: 11
Game 504 | P1: 55 | P2: 7 | Moves: 7
Game 505 | P1: 44 | P2: 0 | Moves: 7
Game 506 | P1: 44 | P2: 8 | Moves: 7
Game 507 | P1: 56 | P2: 0 | Moves: 9
Game 508 | P1: 41 | P2: 18 | Moves: 39
Game 509 | P1: 43 | P2: 4 | Moves: 9
Game 510 | P1: 46 | P2: 17 | Moves: 11
Game 511 | P1: 48 | P2: 20 | Moves: 13
Game 512 | P1: 23 | P2: 0 | Moves: 3
Game 513 | P1: 53 | P2: 1 | Moves: 11
Game 514 | P1: 57 | P2: 2 | Moves: 11
Game 515 | P1: 63 | P2: 3 | Moves: 21
Game 516 | P1: 52 | P2: 4 | Moves: 9
Game 517 | P1: 53 | P2: 4 | Moves: 9
Game 518 | P1: 41 | P2: 4 | Moves: 11
